ranking_year,semester,ranking_date,rank,team,team_norm,acronym,total_points,previous_points,diff_points
2001,1,2001-06-30,138,Yemen,yemen,YEM,295.0,295.0,0.0
2001,1,2001-06-30,139,Rwanda,rwanda,RWA,286.0,293.0,-7.0
2001,1,2001-06-30,140,Myanmar,myanmar,MYA,283.0,291.0,-8.0
2001,1,2001-06-30,141,Tajikistan,tajikistan,TJK,271.0,273.0,-2.0
2001,1,2001-06-30,142,Suriname,suriname,SUR,268.0,268.0,0.0
2001,1,2001-06-30,143,Luxembourg,luxembourg,LUX,263.0,264.0,-1.0
2001,1,2001-06-30,144,Ethiopia,ethiopia,ETH,262.0,271.0,-9.0
2001,1,2001-06-30,145,Andorra,andorra,AND,255.0,255.0,0.0
2001,1,2001-06-30,146,Palestine,palestine,PLE,253.0,253.0,0.0
2001,1,2001-06-30,147,Bangladesh,bangladesh,BAN,251.0,252.0,-1.0
2001,1,2001-06-30,148,Maldives,maldives,MDV,248.0,248.0,0.0
2001,1,2001-06-30,149,Liechtenstein,liechtenstein,LIE,246.0,248.0,-2.0
2001,1,2001-06-30,149,Sri Lanka,sri lanka,SRI,246.0,246.0,0.0
2001,1,2001-06-30,151,Korea DPR,korea dpr,PRK,245.0,247.0,-2.0
2001,1,2001-06-30,152,Tanzania,tanzania,TAN,239.0,246.0,-7.0
2001,1,2001-06-30,153,Antigua and Barbuda,antigua and barbuda,ATG,235.0,238.0,-3.0
2001,1,2001-06-30,154,Botswana,botswana,BOT,230.0,237.0,-7.0
2001,1,2001-06-30,155,Benin,benin,BEN,225.0,229.0,-4.0
2001,1,2001-06-30,156,Nepal,nepal,NEP,220.0,220.0,0.0
2001,1,2001-06-30,157,Dominica,dominica,DMA,216.0,217.0,-1.0
2001,1,2001-06-30,158,Gambia,gambia,GAM,215.0,209.0,6.0
2001,1,2001-06-30,159,San Marino,san marino,SMR,213.0,213.0,0.0
2001,1,2001-06-30,160,Bermuda,bermuda,BER,209.0,211.0,-2.0
2001,1,2001-06-30,161,Cayman Islands,cayman islands,CAY,207.0,207.0,0.0
2001,1,2001-06-30,162,Cape Verde Islands,cape verde,CPV,206.0,208.0,-2.0
2001,1,2001-06-30,162,Dominican Republic,dominican republic,DOM,206.0,206.0,0.0
2001,1,2001-06-30,164,British Virgin Islands,british virgin islands,VGB,202.0,202.0,0.0
2001,1,2001-06-30,165,Kyrgyz Republic,kyrgyz republic,KGZ,196.0,195.0,1.0
2001,1,2001-06-30,166,Laos,laos,LAO,194.0,194.0,0.0
2001,1,2001-06-30,167,Belize,belize,BLZ,187.0,158.0,29.0
2001,1,2001-06-30,167,Eritrea,eritrea,ERI,187.0,190.0,-3.0
2001,1,2001-06-30,169,Chinese Taipei,chinese taipei,TPE,182.0,183.0,-1.0
2001,1,2001-06-30,169,Vanuatu,vanuatu,VAN,182.0,186.0,-4.0
2001,1,2001-06-30,171,Cambodia,cambodia,CAM,178.0,178.0,0.0
2001,1,2001-06-30,172,Mauritania,mauritania,MTN,172.0,177.0,-5.0
2001,1,2001-06-30,173,Chad,chad,CHA,165.0,167.0,-2.0
2001,1,2001-06-30,174,Samoa,samoa,SAM,158.0,155.0,3.0
2001,1,2001-06-30,175,Guyana,guyana,GUY,154.0,153.0,1.0
2001,1,2001-06-30,176,Cook Islands,cook islands,COK,152.0,153.0,-1.0
2001,1,2001-06-30,177,Tonga,tonga,TGA,151.0,152.0,-1.0
2001,1,2001-06-30,178,Philippines,philippines,PHI,143.0,143.0,0.0
2001,1,2001-06-30,179,Central African Republic,central african republic,CTA,121.0,123.0,-2.0
2001,1,2001-06-30,180,Guinea-Bissau,guineabissau,GNB,115.0,118.0,-3.0
2001,1,2001-06-30,180,Macau,macau,MAC,115.0,115.0,0.0
2001,1,2001-06-30,182,Bahamas,bahamas,BAH,111.0,113.0,-2.0
2001,1,2001-06-30,183,Sao Tome e Principe,sao tome e principe,STP,110.0,111.0,-1.0
2001,1,2001-06-30,184,Pakistan,pakistan,PAK,106.0,105.0,1.0
2001,1,2001-06-30,185,Aruba,aruba,ARU,101.0,101.0,0.0
2001,1,2001-06-30,186,Niger,niger,NIG,95.0,99.0,-4.0
2001,1,2001-06-30,187,Mongolia,mongolia,MNG,94.0,94.0,0.0
2001,1,2001-06-30,188,Nicaragua,nicaragua,NCA,89.0,89.0,0.0
2001,1,2001-06-30,189,Brunei Darussalam,brunei darussalam,BRU,86.0,86.0,0.0
2001,1,2001-06-30,189,Equatorial Guinea,equatorial guinea,EQG,86.0,87.0,-1.0
2001,1,2001-06-30,191,Seychelles,seychelles,SEY,79.0,80.0,-1.0
2001,1,2001-06-30,192,Djibouti,djibouti,DJI,76.0,77.0,-1.0
2001,1,2001-06-30,193,Anguilla,anguilla,AIA,65.0,65.0,0.0
2001,1,2001-06-30,194,Papua New Guinea,papua new guinea,PNG,61.0,62.0,-1.0
2001,1,2001-06-30,195,Somalia,somalia,SOM,56.0,57.0,-1.0
2001,1,2001-06-30,196,Puerto Rico,puerto rico,PUR,55.0,55.0,0.0
2001,1,2001-06-30,197,US Virgin Islands,us virgin islands,VIR,48.0,48.0,0.0
2001,1,2001-06-30,198,Guam,guam,GUM,27.0,28.0,-1.0
2001,1,2001-06-30,199,Turks and Caicos Islands,turks and caicos islands,TCA,21.0,22.0,-1.0
2001,1,2001-06-30,200,American Samoa,american samoa,ASA,16.0,15.0,1.0
2001,1,2001-06-30,201,Bhutan,bhutan,BHU,14.0,14.0,0.0
2001,1,2001-06-30,202,Montserrat,montserrat,MSR,11.0,11.0,0.0
2001,2,2001-12-31,1,France,france,FRA,812.0,811.0,1.0
2001,2,2001-12-31,2,Argentina,argentina,ARG,802.0,798.0,4.0
2001,2,2001-12-31,3,Brazil,brazil,BRA,793.0,797.0,-4.0
2001,2,2001-12-31,4,Portugal,portugal,POR,741.0,741.0,0.0
2001,2,2001-12-31,5,Colombia,colombia,COL,739.0,736.0,3.0
2001,2,2001-12-31,6,Italy,italy,ITA,734.0,735.0,-1.0
2001,2,2001-12-31,7,Spain,spain,ESP,730.0,731.0,-1.0
2001,2,2001-12-31,8,Netherlands,netherlands,NED,722.0,722.0,0.0
2001,2,2001-12-31,9,Mexico,mexico,MEX,714.0,713.0,1.0
2001,2,2001-12-31,10,England,england,ENG,712.0,712.0,0.0
2001,2,2001-12-31,11,Yugoslavia,yugoslavia,YUG,710.0,709.0,1.0
2001,2,2001-12-31,12,Germany,germany,GER,707.0,710.0,-3.0
2001,2,2001-12-31,13,Paraguay,paraguay,PAR,691.0,694.0,-3.0
2001,2,2001-12-31,14,Czech Republic,czechia,CZE,689.0,699.0,-10.0
2001,2,2001-12-31,15,Romania,romania,ROU,688.0,687.0,1.0
2001,2,2001-12-31,16,Sweden,sweden,SWE,676.0,676.0,0.0
2001,2,2001-12-31,17,Republic of Ireland,ireland,IRL,672.0,672.0,0.0
2001,2,2001-12-31,17,Denmark,denmark,DEN,672.0,675.0,-3.0
2001,2,2001-12-31,19,Croatia,croatia,CRO,668.0,671.0,-3.0
2001,2,2001-12-31,20,Belgium,belgium,BEL,666.0,666.0,0.0
2001,2,2001-12-31,21,Russia,russia,RUS,665.0,664.0,1.0
2001,2,2001-12-31,22,Uruguay,uruguay,URU,664.0,656.0,8.0
2001,2,2001-12-31,23,Turkey,turkey,TUR,663.0,660.0,3.0
2001,2,2001-12-31,24,USA,united states,USA,662.0,666.0,-4.0
2001,2,2001-12-31,25,Slovenia,slovenia,SVN,650.0,648.0,2.0
2001,2,2001-12-31,25,Norway,norway,NOR,650.0,654.0,-4.0
2001,2,2001-12-31,25,Honduras,honduras,HON,650.0,650.0,0.0
2001,2,2001-12-31,28,Tunisia,tunisia,TUN,648.0,647.0,1.0
2001,2,2001-12-31,29,IR Iran,iran,IRN,642.0,640.0,2.0
2001,2,2001-12-31,30,Costa Rica,costa rica,CRC,635.0,629.0,6.0
2001,2,2001-12-31,31,Saudi Arabia,saudi arabia,KSA,632.0,632.0,0.0
2001,2,2001-12-31,32,Trinidad and Tobago,trinidad and tobago,TRI,630.0,629.0,1.0
2001,2,2001-12-31,33,Poland,poland,POL,629.0,628.0,1.0
2001,2,2001-12-31,34,Japan,japan,JPN,626.0,623.0,3.0
2001,2,2001-12-31,34,South Africa,south africa,RSA,626.0,625.0,1.0
2001,2,2001-12-31,36,Morocco,morocco,MAR,623.0,620.0,3.0
2001,2,2001-12-31,37,Ecuador,ecuador,ECU,613.0,610.0,3.0
2001,2,2001-12-31,38,Cameroon,cameroon,CMR,609.0,609.0,0.0
2001,2,2001-12-31,39,Chile,chile,CHI,604.0,608.0,-4.0
2001,2,2001-12-31,39,Nigeria,nigeria,NGA,604.0,602.0,2.0
2001,2,2001-12-31,41,Egypt,egypt,EGY,602.0,601.0,1.0
2001,2,2001-12-31,42,Korea Republic,south korea,KOR,599.0,596.0,3.0
2001,2,2001-12-31,43,Peru,peru,PER,598.0,598.0,0.0
2001,2,2001-12-31,44,Côte d'Ivoire,côte divoire,CIV,596.0,593.0,3.0
2001,2,2001-12-31,45,Ukraine,ukraine,UKR,593.0,595.0,-2.0
2001,2,2001-12-31,46,Finland,finland,FIN,588.0,585.0,3.0
2001,2,2001-12-31,46,Slovakia,slovakia,SVK,588.0,595.0,-7.0
2001,2,2001-12-31,48,Australia,australia,AUS,586.0,581.0,5.0
2001,2,2001-12-31,49,Israel,israel,ISR,583.0,585.0,-2.0
2001,2,2001-12-31,50,Scotland,scotland,SCO,577.0,584.0,-7.0
2001,2,2001-12-31,51,Bulgaria,bulgaria,BUL,576.0,576.0,0.0
2001,2,2001-12-31,52,Iceland,iceland,ISL,569.0,569.0,0.0
2001,2,2001-12-31,53,Jamaica,jamaica,JAM,567.0,570.0,-3.0
2001,2,2001-12-31,54,China PR,china,CHN,565.0,561.0,4.0
2001,2,2001-12-31,55,Angola,angola,ANG,564.0,563.0,1.0
2001,2,2001-12-31,56,Austria,austria,AUT,558.0,561.0,-3.0
2001,2,2001-12-31,57,Greece,greece,GRE,556.0,560.0,-4.0
2001,2,2001-12-31,58,Georgia,georgia,GEO,552.0,552.0,0.0
2001,2,2001-12-31,59,Ghana,ghana,GHA,551.0,553.0,-2.0
2001,2,2001-12-31,60,United Arab Emirates,united arab emirates,UAE,549.0,548.0,1.0
2001,2,2001-12-31,61,Thailand,thailand,THA,544.0,544.0,0.0
2001,2,2001-12-31,62,Uzbekistan,uzbekistan,UZB,542.0,542.0,0.0
2001,2,2001-12-31,63,Switzerland,switzerland,SUI,540.0,539.0,1.0
2001,2,2001-12-31,63,Zambia,zambia,ZAM,540.0,541.0,-1.0
2001,2,2001-12-31,65,Senegal,senegal,SEN,539.0,535.0,4.0
2001,2,2001-12-31,66,Hungary,hungary,HUN,537.0,540.0,-3.0
2001,2,2001-12-31,67,Guatemala,guatemala,GUA,536.0,536.0,0.0
2001,2,2001-12-31,68,Zimbabwe,zimbabwe,ZIM,533.0,533.0,0.0
2001,2,2001-12-31,69,Bosnia and Herzegovina,bosnia and herzegovina,BIH,522.0,522.0,0.0
2001,2,2001-12-31,69,Bolivia,bolivia,BOL,522.0,522.0,0.0
2001,2,2001-12-31,69,Togo,togo,TOG,522.0,527.0,-5.0
2001,2,2001-12-31,72,Iraq,iraq,IRQ,515.0,513.0,2.0
2001,2,2001-12-31,72,Liberia,liberia,LBR,515.0,512.0,3.0
2001,2,2001-12-31,74,Kuwait,kuwait,KUW,512.0,512.0,0.0
2001,2,2001-12-31,75,Algeria,algeria,ALG,510.0,510.0,0.0
2001,2,2001-12-31,76,Cuba,cuba,CUB,509.0,509.0,0.0
2001,2,2001-12-31,76,Congo DR,congo dr,COD,509.0,508.0,1.0
2001,2,2001-12-31,78,Burkina Faso,burkina faso,BFA,502.0,501.0,1.0
2001,2,2001-12-31,79,Cyprus,cyprus,CYP,500.0,504.0,-4.0
2001,2,2001-12-31,80,Qatar,qatar,QAT,497.0,497.0,0.0
2001,2,2001-12-31,81,Venezuela,venezuela,VEN,493.0,493.0,0.0
2001,2,2001-12-31,82,Haiti,haiti,HAI,492.0,492.0,0.0
2001,2,2001-12-31,83,Estonia,estonia,EST,477.0,481.0,-4.0
2001,2,2001-12-31,83,New Zealand,new zealand,NZL,477.0,477.0,0.0
2001,2,2001-12-31,85,Belarus,belarus,BLR,474.0,472.0,2.0
2001,2,2001-12-31,86,El Salvador,el salvador,SLV,468.0,468.0,0.0
2001,2,2001-12-31,87,Indonesia,indonesia,IDN,467.0,467.0,0.0
2001,2,2001-12-31,88,Northern Ireland,northern ireland,NIR,465.0,465.0,0.0
2001,2,2001-12-31,89,FYR Macedonia,fyr macedonia,MKD,464.0,468.0,-4.0
2001,2,2001-12-31,89,Syria,syria,SYR,464.0,464.0,0.0
2001,2,2001-12-31,91,Oman,oman,OMA,462.0,461.0,1.0
2001,2,2001-12-31,92,Canada,canada,CAN,458.0,468.0,-10.0
2001,2,2001-12-31,93,Lebanon,lebanon,LBN,455.0,455.0,0.0
2001,2,2001-12-31,94,Congo,congo,CGO,454.0,454.0,0.0
2001,2,2001-12-31,95,Armenia,armenia,ARM,449.0,449.0,0.0
2001,2,2001-12-31,96,Albania,albania,ALB,448.0,454.0,-6.0
2001,2,2001-12-31,97,Lithuania,lithuania,LTU,447.0,453.0,-6.0
2001,2,2001-12-31,98,Kazakhstan,kazakhstan,KAZ,442.0,425.0,17.0
2001,2,2001-12-31,98,Jordan,jordan,JOR,442.0,442.0,0.0
2001,2,2001-12-31,100,Wales,wales,WAL,441.0,441.0,0.0
2001,2,2001-12-31,101,Namibia,namibia,NAM,440.0,442.0,-2.0
2001,2,2001-12-31,102,Gabon,gabon,GAB,438.0,439.0,-1.0
2001,2,2001-12-31,103,Moldova,moldova,MDA,437.0,437.0,0.0
2001,2,2001-12-31,103,Kenya,kenya,KEN,437.0,429.0,8.0
2001,2,2001-12-31,105,Vietnam,vietnam,VIE,430.0,430.0,0.0
2001,2,2001-12-31,106,Latvia,latvia,LVA,428.0,432.0,-4.0
2001,2,2001-12-31,107,Barbados,barbados,BRB,421.0,421.0,0.0
2001,2,2001-12-31,108,Guinea,guinea,GUI,413.0,423.0,-10.0
2001,2,2001-12-31,109,Panama,panama,PAN,400.0,396.0,4.0
2001,2,2001-12-31,109,Bahrain,bahrain,BHR,400.0,397.0,3.0
2001,2,2001-12-31,111,Malaysia,malaysia,MAS,397.0,397.0,0.0
2001,2,2001-12-31,112,Mali,mali,MLI,391.0,415.0,-24.0
2001,2,2001-12-31,113,Azerbaijan,azerbaijan,AZE,390.0,391.0,-1.0
2001,2,2001-12-31,113,Turkmenistan,turkmenistan,TKM,390.0,390.0,0.0
2001,2,2001-12-31,115,Singapore,singapore,SGP,387.0,392.0,-5.0
2001,2,2001-12-31,116,Libya,libya,LBY,384.0,381.0,3.0
2001,2,2001-12-31,117,Faroe Islands,faroe islands,FRO,374.0,372.0,2.0
2001,2,2001-12-31,118,Sudan,sudan,SDN,373.0,373.0,0.0
2001,2,2001-12-31,119,Uganda,uganda,UGA,369.0,387.0,-18.0
2001,2,2001-12-31,120,Malawi,malawi,MWI,365.0,365.0,0.0
2001,2,2001-12-31,121,India,india,IND,362.0,364.0,-2.0
2001,2,2001-12-31,122,Madagascar,madagascar,MAD,361.0,361.0,0.0
2001,2,2001-12-31,123,Fiji,fiji,FIJ,349.0,349.0,0.0
2001,2,2001-12-31,124,Mauritius,mauritius,MRI,344.0,344.0,0.0
2001,2,2001-12-31,125,St. Vincent and the Grenadines,st vincent and the grenadines,VIN,337.0,337.0,0.0
2001,2,2001-12-31,126,Lesotho,lesotho,LES,336.0,336.0,0.0
2001,2,2001-12-31,126,Tahiti,tahiti,TAH,336.0,336.0,0.0
2001,2,2001-12-31,128,Mozambique,mozambique,MOZ,334.0,339.0,-5.0
2001,2,2001-12-31,129,St. Kitts and Nevis,st kitts and nevis,SKN,329.0,325.0,4.0
2001,2,2001-12-31,130,St. Lucia,st lucia,LCA,327.0,327.0,0.0
2001,2,2001-12-31,131,Malta,malta,MLT,325.0,325.0,0.0
2001,2,2001-12-31,132,Eswatini,eswatini,SWZ,323.0,323.0,0.0
2001,2,2001-12-31,133,Grenada,grenada,GRN,312.0,312.0,0.0
2001,2,2001-12-31,134,Solomon Islands,solomon islands,SOL,309.0,309.0,0.0
2001,2,2001-12-31,135,Yemen,yemen,YEM,304.0,304.0,0.0
2001,2,2001-12-31,136,Korea DPR,korea dpr,PRK,294.0,294.0,0.0
2001,2,2001-12-31,137,Hong Kong,hong kong,HKG,290.0,294.0,-4.0
2001,2,2001-12-31,137,Sierra Leone,sierra leone,SLE,290.0,290.0,0.0
2001,2,2001-12-31,137,Burundi,burundi,BDI,290.0,299.0,-9.0
2001,2,2001-12-31,140,Andorra,andorra,AND,274.0,274.0,0.0
2001,2,2001-12-31,141,Suriname,suriname,SUR,268.0,268.0,0.0
2001,2,2001-12-31,142,Luxembourg,luxembourg,LUX,261.0,262.0,-1.0
2001,2,2001-12-31,143,Sri Lanka,sri lanka,SRI,255.0,254.0,1.0
2001,2,2001-12-31,143,Rwanda,rwanda,RWA,255.0,265.0,-10.0
2001,2,2001-12-31,145,Palestine,palestine,PLE,253.0,253.0,0.0
2001,2,2001-12-31,146,Bangladesh,bangladesh,BAN,249.0,251.0,-2.0
2001,2,2001-12-31,147,Maldives,maldives,MDV,248.0,248.0,0.0
2001,2,2001-12-31,147,Gambia,gambia,GAM,248.0,249.0,-1.0
2001,2,2001-12-31,149,Tanzania,tanzania,TAN,246.0,249.0,-3.0
2001,2,2001-12-31,150,Liechtenstein,liechtenstein,LIE,242.0,243.0,-1.0
2001,2,2001-12-31,151,Myanmar,myanmar,MYA,238.0,250.0,-12.0
2001,2,2001-12-31,152,Benin,benin,BEN,232.0,233.0,-1.0
2001,2,2001-12-31,153,Botswana,botswana,BOT,230.0,230.0,0.0
2001,2,2001-12-31,154,Tajikistan,tajikistan,TJK,229.0,261.0,-32.0
2001,2,2001-12-31,155,Ethiopia,ethiopia,ETH,228.0,245.0,-17.0
2001,2,2001-12-31,156,Nepal,nepal,NEP,220.0,220.0,0.0
2001,2,2001-12-31,157,Antigua and Barbuda,antigua and barbuda,ATG,217.0,222.0,-5.0
2001,2,2001-12-31,158,San Marino,san marino,SMR,211.0,210.0,1.0
2001,2,2001-12-31,159,Cape Verde Islands,cape verde,CPV,208.0,208.0,0.0
2001,2,2001-12-31,160,Dominican Republic,dominican republic,DOM,204.0,205.0,-1.0
2001,2,2001-12-31,160,Dominica,dominica,DMA,204.0,207.0,-3.0
2001,2,2001-12-31,162,Laos,laos,LAO,203.0,203.0,0.0
2001,2,2001-12-31,163,British Virgin Islands,british virgin islands,VGB,202.0,202.0,0.0
2001,2,2001-12-31,164,Kyrgyz Republic,kyrgyz republic,KGZ,201.0,200.0,1.0
2001,2,2001-12-31,165,Cayman Islands,cayman islands,CAY,195.0,195.0,0.0
2001,2,2001-12-31,166,Bermuda,bermuda,BER,192.0,197.0,-5.0
2001,2,2001-12-31,167,Belize,belize,BLZ,187.0,187.0,0.0
2001,2,2001-12-31,168,Vanuatu,vanuatu,VAN,182.0,182.0,0.0
2001,2,2001-12-31,169,Cambodia,cambodia,CAM,180.0,180.0,0.0
2001,2,2001-12-31,170,Chinese Taipei,chinese taipei,TPE,175.0,177.0,-2.0
2001,2,2001-12-31,171,Eritrea,eritrea,ERI,169.0,175.0,-6.0
2001,2,2001-12-31,172,Samoa,samoa,SAM,158.0,158.0,0.0
2001,2,2001-12-31,173,Tonga,tonga,TGA,151.0,151.0,0.0
2001,2,2001-12-31,174,Guinea-Bissau,guineabissau,GNB,150.0,150.0,0.0
2001,2,2001-12-31,175,Philippines,philippines,PHI,149.0,149.0,0.0
2001,2,2001-12-31,176,Chad,chad,CHA,148.0,153.0,-5.0
2001,2,2001-12-31,177,Mauritania,mauritania,MTN,147.0,155.0,-8.0
2001,2,2001-12-31,177,Guyana,guyana,GUY,147.0,145.0,2.0
2001,2,2001-12-31,179,Cook Islands,cook islands,COK,143.0,145.0,-2.0
2001,2,2001-12-31,180,Macau,macau,MAC,113.0,114.0,-1.0
2001,2,2001-12-31,181,Pakistan,pakistan,PAK,109.0,108.0,1.0
2001,2,2001-12-31,181,Central African Republic,central african republic,CTA,109.0,113.0,-4.0
2001,2,2001-12-31,183,Bahamas,bahamas,BAH,106.0,108.0,-2.0
2001,2,2001-12-31,184,Aruba,aruba,ARU,101.0,101.0,0.0
2001,2,2001-12-31,185,Sao Tome e Principe,sao tome e principe,STP,100.0,102.0,-2.0
2001,2,2001-12-31,186,Mongolia,mongolia,MNG,94.0,94.0,0.0
2001,2,2001-12-31,187,Nicaragua,nicaragua,NCA,89.0,89.0,0.0
2001,2,2001-12-31,188,Brunei Darussalam,brunei darussalam,BRU,86.0,86.0,0.0
2001,2,2001-12-31,189,Equatorial Guinea,equatorial guinea,EQG,78.0,80.0,-2.0
2001,2,2001-12-31,190,Niger,niger,NIG,72.0,78.0,-6.0
2001,2,2001-12-31,191,Seychelles,seychelles,SEY,69.0,72.0,-3.0
2001,2,2001-12-31,192,Djibouti,djibouti,DJI,68.0,71.0,-3.0
2001,2,2001-12-31,193,Anguilla,anguilla,AIA,65.0,65.0,0.0
2001,2,2001-12-31,194,Puerto Rico,puerto rico,PUR,55.0,55.0,0.0
2001,2,2001-12-31,195,Papua New Guinea,papua new guinea,PNG,52.0,54.0,-2.0
2001,2,2001-12-31,196,Somalia,somalia,SOM,49.0,52.0,-3.0
2001,2,2001-12-31,197,US Virgin Islands,us virgin islands,VIR,48.0,48.0,0.0
2001,2,2001-12-31,198,Guam,guam,GUM,25.0,26.0,-1.0
2001,2,2001-12-31,199,Turks and Caicos Islands,turks and caicos islands,TCA,19.0,20.0,-1.0
2001,2,2001-12-31,200,American Samoa,american samoa,ASA,16.0,16.0,0.0
2001,2,2001-12-31,201,Bhutan,bhutan,BHU,13.0,13.0,0.0
2001,2,2001-12-31,202,Montserrat,montserrat,MSR,10.0,10.0,0.0
2002,1,2002-06-30,1,Brazil,brazil,BRA,852.0,784.0,68.0
2002,1,2002-06-30,2,Argentina,argentina,ARG,784.0,784.0,0.0
2002,1,2002-06-30,2,France,france,FRA,784.0,802.0,-18.0
2002,1,2002-06-30,4,Spain,spain,ESP,774.0,713.0,61.0
2002,1,2002-06-30,5,Germany,germany,GER,765.0,695.0,70.0
2002,1,2002-06-30,6,Mexico,mexico,MEX,739.0,716.0,23.0
2002,1,2002-06-30,7,Portugal,portugal,POR,731.0,726.0,5.0
2002,1,2002-06-30,8,England,england,ENG,728.0,694.0,34.0
2002,1,2002-06-30,9,Colombia,colombia,COL,725.0,728.0,-3.0
2002,1,2002-06-30,10,Italy,italy,ITA,720.0,717.0,3.0
2002,1,2002-06-30,11,USA,united states,USA,712.0,690.0,22.0
2002,1,2002-06-30,12,Turkey,turkey,TUR,707.0,654.0,53.0
2002,1,2002-06-30,13,Denmark,denmark,DEN,704.0,657.0,47.0
2002,1,2002-06-30,14,Republic of Ireland,ireland,IRL,699.0,674.0,25.0
2002,1,2002-06-30,15,Netherlands,netherlands,NED,697.0,703.0,-6.0
2002,1,2002-06-30,16,Yugoslavia,yugoslavia,YUG,689.0,702.0,-13.0
2002,1,2002-06-30,17,Cameroon,cameroon,CMR,680.0,672.0,8.0
2002,1,2002-06-30,18,Paraguay,paraguay,PAR,679.0,671.0,8.0
2002,1,2002-06-30,19,Belgium,belgium,BEL,678.0,653.0,25.0
2002,1,2002-06-30,20,Sweden,sweden,SWE,674.0,665.0,9.0
2002,1,2002-06-30,21,Czech Republic,czechia,CZE,670.0,674.0,-4.0
2002,1,2002-06-30,22,Korea Republic,south korea,KOR,664.0,603.0,61.0
2002,1,2002-06-30,23,Uruguay,uruguay,URU,662.0,652.0,10.0
2002,1,2002-06-30,24,Japan,japan,JPN,658.0,634.0,24.0
2002,1,2002-06-30,25,Romania,romania,ROU,657.0,675.0,-18.0
2002,1,2002-06-30,26,Costa Rica,costa rica,CRC,656.0,643.0,13.0
2002,1,2002-06-30,27,Croatia,croatia,CRO,653.0,655.0,-2.0
2002,1,2002-06-30,28,Russia,russia,RUS,644.0,644.0,0.0
2002,1,2002-06-30,29,Nigeria,nigeria,NGA,642.0,644.0,-2.0
2002,1,2002-06-30,30,Honduras,honduras,HON,640.0,647.0,-7.0
2002,1,2002-06-30,31,Ecuador,ecuador,ECU,637.0,624.0,13.0
2002,1,2002-06-30,31,Senegal,senegal,SEN,637.0,599.0,38.0
2002,1,2002-06-30,33,IR Iran,iran,IRN,634.0,635.0,-1.0
2002,1,2002-06-30,33,South Africa,south africa,RSA,634.0,623.0,11.0
2002,1,2002-06-30,35,Slovenia,slovenia,SVN,632.0,649.0,-17.0
2002,1,2002-06-30,36,Tunisia,tunisia,TUN,626.0,635.0,-9.0
2002,1,2002-06-30,37,Norway,norway,NOR,625.0,631.0,-6.0
2002,1,2002-06-30,38,Saudi Arabia,saudi arabia,KSA,623.0,627.0,-4.0
2002,1,2002-06-30,39,Poland,poland,POL,621.0,615.0,6.0
2002,1,2002-06-30,40,Morocco,morocco,MAR,606.0,612.0,-6.0
2002,1,2002-06-30,41,Finland,finland,FIN,601.0,600.0,1.0
2002,1,2002-06-30,41,Trinidad and Tobago,trinidad and tobago,TRI,601.0,624.0,-23.0
2002,1,2002-06-30,43,Ukraine,ukraine,UKR,595.0,593.0,2.0
2002,1,2002-06-30,44,Egypt,egypt,EGY,591.0,598.0,-7.0
2002,1,2002-06-30,45,Chile,chile,CHI,584.0,590.0,-6.0
2002,1,2002-06-30,46,Slovakia,slovakia,SVK,581.0,574.0,7.0
2002,1,2002-06-30,47,Côte d'Ivoire,côte divoire,CIV,566.0,580.0,-14.0
2002,1,2002-06-30,48,Peru,peru,PER,563.0,578.0,-15.0
2002,1,2002-06-30,49,Greece,greece,GRE,555.0,558.0,-3.0
2002,1,2002-06-30,50,Australia,australia,AUS,552.0,575.0,-23.0
2002,1,2002-06-30,51,China PR,china,CHN,549.0,566.0,-17.0
2002,1,2002-06-30,52,Israel,israel,ISR,547.0,563.0,-16.0
2002,1,2002-06-30,53,Iceland,iceland,ISL,544.0,553.0,-9.0
2002,1,2002-06-30,54,Bulgaria,bulgaria,BUL,542.0,557.0,-15.0
2002,1,2002-06-30,55,Georgia,georgia,GEO,541.0,545.0,-4.0
2002,1,2002-06-30,55,Scotland,scotland,SCO,541.0,557.0,-16.0
2002,1,2002-06-30,57,Ghana,ghana,GHA,537.0,558.0,-21.0
2002,1,2002-06-30,58,Austria,austria,AUT,533.0,543.0,-10.0
2002,1,2002-06-30,58,Jamaica,jamaica,JAM,533.0,549.0,-16.0
2002,1,2002-06-30,60,Angola,angola,ANG,531.0,545.0,-14.0
2002,1,2002-06-30,61,United Arab Emirates,united arab emirates,UAE,528.0,536.0,-8.0
2002,1,2002-06-30,62,Thailand,thailand,THA,527.0,544.0,-17.0
2002,1,2002-06-30,63,Zimbabwe,zimbabwe,ZIM,524.0,527.0,-3.0
2002,1,2002-06-30,64,Switzerland,switzerland,SUI,518.0,531.0,-13.0
2002,1,2002-06-30,65,Guatemala,guatemala,GUA,517.0,538.0,-21.0
2002,1,2002-06-30,66,Zambia,zambia,ZAM,513.0,530.0,-17.0
2002,1,2002-06-30,67,Hungary,hungary,HUN,511.0,523.0,-12.0
2002,1,2002-06-30,68,Canada,canada,CAN,507.0,504.0,3.0
2002,1,2002-06-30,68,Iraq,iraq,IRQ,507.0,509.0,-2.0
2002,1,2002-06-30,68,Qatar,qatar,QAT,507.0,507.0,0.0
2002,1,2002-06-30,68,Uzbekistan,uzbekistan,UZB,507.0,523.0,-16.0
2002,1,2002-06-30,72,Togo,togo,TOG,502.0,518.0,-16.0
